id,cmy,cmx
commonwealth:ht250272q,9,18
commonwealth:3f4637430,11,18
commonwealth:6t053n816,11,18
commonwealth:ww72bp81r,12,18
commonwealth:3f463239c,13,18
commonwealth:9s161h09k,13,18
commonwealth:0z709f660,14,18
commonwealth:3f462t14w,14,18
commonwealth:3f463071q,14,18
commonwealth:3f463075t,14,18
commonwealth:3f463079x,14,18
commonwealth:3f463081z,14,18
commonwealth:3f4630852,14,18
commonwealth:3f463087m,14,18
commonwealth:3f4630895,14,18
commonwealth:3f4630916,14,18
commonwealth:3f4630959,14,18
commonwealth:3f463097v,14,18
commonwealth:3f463105b,14,18
commonwealth:3f463107w,14,18
commonwealth:cj82m6679,14,18
commonwealth:2514p1605,15,18
commonwealth:8336h284n,15,18
commonwealth:kk91fr88r,15,18
commonwealth:4m90fk18h,16,18
commonwealth:9s161f13r,16,18
commonwealth:wd3766742,16,18
commonwealth:sx61jz65s,18,18
commonwealth:0z7099109,21,18
commonwealth:q524n6213,21,18
commonwealth:ht2506875,22,18
commonwealth:x633fb567,22,18
commonwealth:0r96fm63h,23,18
commonwealth:3f463913p,23,18
commonwealth:4m90f8384,23,18
commonwealth:cj82kx74w,23,18
commonwealth:cj82m249j,23,18
commonwealth:ht250c27r,23,18
commonwealth:kk91fq29c,23,18
commonwealth:q524n1697,23,18
commonwealth:0z7097140,24,18
commonwealth:1257b992z,24,18
commonwealth:6t053p21z,24,18
commonwealth:st74cw221,24,18
commonwealth:wd376829n,24,18
commonwealth:7h149z60q,25,18
commonwealth:9s161956q,25,18
commonwealth:x633f983x,25,18
commonwealth:7h14b001x,26,18
commonwealth:q524n611v,27,18
commonwealth:5x21x0290,31,18
commonwealth:4m90f522m,93,18
commonwealth:w9509997j,10,19
commonwealth:0r96fp493,11,19
commonwealth:7h14b2576,11,19
commonwealth:4m90fp68b,12,19
commonwealth:cr56sd027,12,19
commonwealth:2z10wv35v,14,19
commonwealth:9s161d306,16,19
commonwealth:0z7097557,17,19
commonwealth:cj82m646j,18,19
commonwealth:1257bc051,21,19
commonwealth:4m90f913g,22,19
commonwealth:ws859h10w,22,19
commonwealth:4m90f336j,23,19
commonwealth:8336h2823,23,19
commonwealth:1257bc38k,24,19
commonwealth:cj82m781b,24,19
commonwealth:kk91fq33z,24,19
commonwealth:ht250689q,25,19
commonwealth:ht250b67h,25,19
commonwealth:wd376841x,25,19
commonwealth:3f4631726,26,19
commonwealth:4m90fc84v,26,19
commonwealth:4m90fc84v,26,19
commonwealth:6t053p448,26,19
commonwealth:ht250537r,26,19
commonwealth:ht250c46z,26,19
commonwealth:4m90f596d,27,19
commonwealth:x633fb22d,27,19
commonwealth:kk91fr90s,28,19
commonwealth:cj82m572z,29,19
commonwealth:4m90f317b,30,19
commonwealth:9s161d67v,30,19
commonwealth:wd3766386,31,19
commonwealth:69702569v,33,19
commonwealth:6t054368h,55,19
commonwealth:0r96fn89v,19,19
commonwealth:mw22xn331,19,19
commonwealth:4m90fh379,7,20
commonwealth:q524n387k,9,20
commonwealth:3t947b820,11,20
commonwealth:4m90f911x,12,20
commonwealth:4m90fc61j,12,20
commonwealth:z316w571k,13,20
commonwealth:2514p062h,14,20
commonwealth:8336h306g,14,20
commonwealth:6w924q652,15,20
commonwealth:cj82m267g,15,20
commonwealth:4m90f295h,16,20
commonwealth:3f4639050,19,20
commonwealth:4m90j3141,19,20
commonwealth:9s161h356,22,20
commonwealth:p841c3629,22,20
commonwealth:cr56r708p,23,20
commonwealth:x633fb62c,23,20
commonwealth:3f463994w,24,20
commonwealth:3f463996f,24,20
commonwealth:3f4639980,24,20
commonwealth:3f463b00t,24,20
commonwealth:3f463b02c,24,20
commonwealth:3f463b04x,24,20
commonwealth:3f463b06g,24,20
commonwealth:3f463b081,24,20
commonwealth:3f463b145,24,20
commonwealth:3f463b16q,24,20
commonwealth:4m90fp47k,24,20
commonwealth:7h14b0204,24,20
commonwealth:t148j0846,24,20
commonwealth:9s161b32b,25,20
commonwealth:9s161d53h,25,20
commonwealth:x633j6818,25,20
commonwealth:0z709769k,26,20
commonwealth:2514p1541,26,20
commonwealth:7h149z407,26,20
commonwealth:q524n609t,26,20
commonwealth:q524n610k,26,20
commonwealth:b8516227d,27,20
commonwealth:q524n499k,27,20
commonwealth:q524n510c,27,20
commonwealth:w9505r658,27,20
commonwealth:xg94j124x,27,20
commonwealth:3f463156t,28,20
commonwealth:8336h3608,28,20
commonwealth:9s161f03h,28,20
commonwealth:3f463673h,29,20
commonwealth:8049jp30j,30,20
commonwealth:ht2506212,30,20
commonwealth:d217t6531,32,20
commonwealth:0z709c705,33,20
commonwealth:br86gf62m,33,20
commonwealth:z890s297x,35,20
commonwealth:4m90f2106,39,20
commonwealth:cj82m637k,41,20
commonwealth:7h149z785,12,21
commonwealth:7h149z806,12,21
commonwealth:cc08pg62k,14,21
commonwealth:kk91fq35h,14,21
commonwealth:3f463864z,15,21
commonwealth:6w924p98d,15,21
commonwealth:x059cd487,15,21
commonwealth:2j62vt51t,16,21
commonwealth:5d86rp35p,16,21
commonwealth:6t053n752,16,21
commonwealth:6t053p70w,16,21
commonwealth:794083190,16,21
commonwealth:4m90fc587,17,21
commonwealth:8336h356p,17,21
commonwealth:9s161j67p,17,21
commonwealth:ht2506718,17,21
commonwealth:3f4637473,18,21
commonwealth:794083211,18,21
commonwealth:7h149z58p,18,21
commonwealth:9s161f61d,20,21
commonwealth:7h149x20j,22,21
commonwealth:cj82m2160,23,21
commonwealth:td96qf35t,23,21
commonwealth:db78zr01k,24,21
commonwealth:xw42t945r,24,21
commonwealth:6t053q525,25,21
commonwealth:7h14b010w,25,21
commonwealth:1257b917d,26,21
commonwealth:1257b9210,26,21
commonwealth:6t053q703,26,21
commonwealth:98811375p,26,21
commonwealth:q524n5136,26,21
commonwealth:1c18kd53f,27,21
commonwealth:3f4631548,27,21
commonwealth:4m90fd09h,27,21
commonwealth:z890s2897,27,21
commonwealth:0z709b849,28,21
commonwealth:0z709d28c,28,21
commonwealth:f1884487t,28,21
commonwealth:ht250297k,28,21
commonwealth:jh3440802,28,21
commonwealth:xg94j126g,28,21
commonwealth:0z709761c,29,21
commonwealth:cj82m5648,29,21
commonwealth:cj82m6768,29,21
commonwealth:0z7097361,30,21
commonwealth:cj82m568c,30,21
commonwealth:7h14b003g,31,21
commonwealth:cj82m562q,31,21
commonwealth:cj82m566t,31,21
commonwealth:ht250605p,31,21
commonwealth:kk91fq41n,31,21
commonwealth:79408373s,32,21
commonwealth:cj82m570d,32,21
commonwealth:2514p098w,33,21
commonwealth:0r96fq43n,34,21
commonwealth:6w924q253,34,21
commonwealth:ht2504589,35,21
commonwealth:9s161982b,36,21
commonwealth:g732hg087,36,21
commonwealth:0r96fp956,40,21
commonwealth:8336h346f,8,22
commonwealth:cj82m469f,13,22
commonwealth:j3865893x,13,22
commonwealth:4m90fm11s,14,22
commonwealth:6t053r00m,14,22
commonwealth:8910qw40z,14,22
commonwealth:4m90f8405,16,22
commonwealth:8049g9651,16,22
commonwealth:0z7096968,17,22
commonwealth:6t053r96f,17,22
commonwealth:6w924p92r,17,22
commonwealth:q524n4173,17,22
commonwealth:cj82m241b,18,22
commonwealth:jh343z100,18,22
commonwealth:6w924q449,19,22
commonwealth:cj82m6440,20,22
commonwealth:2514p060z,21,22
commonwealth:9s161g16s,21,22
commonwealth:0z709c18x,23,22
commonwealth:0z7098171,27,22
commonwealth:4m90j313r,27,22
commonwealth:ht250549j,27,22
commonwealth:ht250627q,27,22
commonwealth:7h14cv83r,28,22
commonwealth:9s161j53b,28,22
commonwealth:h415vc48b,28,22
commonwealth:hh63wb357,28,22
commonwealth:rn3064317,28,22
commonwealth:wd376438s,28,22
commonwealth:8336h352k,29,22
commonwealth:br86j7605,29,22
commonwealth:x633f8726,29,22
commonwealth:2z10wv339,30,22
commonwealth:ht250545f,30,22
commonwealth:ht2505470,30,22
commonwealth:8910s1472,31,22
commonwealth:9s161h801,31,22
commonwealth:6t053q98s,32,22
commonwealth:t148j0871,32,22
commonwealth:x633f869w,32,22
commonwealth:3f462s26g,33,22
commonwealth:0z709771m,36,22
commonwealth:4m90f8341,36,22
commonwealth:4m90f836k,36,22
commonwealth:4m90f842q,36,22
commonwealth:9s161d616,36,22
commonwealth:9s161h33n,36,22
commonwealth:q524n599s,36,22
commonwealth:9s161b02m,37,22
commonwealth:9s161h60j,37,22
commonwealth:3f462z877,40,22
commonwealth:6t053p804,40,22
commonwealth:wd376843g,42,22
commonwealth:7h14cx08m,64,22
commonwealth:q524n267w,20,23
commonwealth:q524n269f,20,23
commonwealth:q524n271g,20,23
commonwealth:q524n2731,20,23
commonwealth:q524n275k,20,23
commonwealth:q524n2774,20,23
commonwealth:q524n279p,20,23
commonwealth:q524n281q,20,23
commonwealth:q524n2820,20,23
commonwealth:q524n284j,20,23
commonwealth:q524n2863,20,23
commonwealth:q524n288n,20,23
commonwealth:q524n290p,20,23
commonwealth:q524n2927,20,23
commonwealth:q524n294s,20,23
commonwealth:q524n296b,20,23
commonwealth:q524n304t,20,23
commonwealth:q524n306c,20,23
commonwealth:q524n308x,20,23
commonwealth:q524n310z,20,23
commonwealth:q524n316m,20,23
commonwealth:q524n3185,20,23
commonwealth:q524n3206,20,23
commonwealth:q524n322r,20,23
commonwealth:q524n3249,20,23
commonwealth:q524n325k,20,23
commonwealth:q524n3274,20,23
commonwealth:q524n329p,20,23
commonwealth:q524nj08m,20,23
commonwealth:x059cb069,20,23
commonwealth:1257b919z,20,23
commonwealth:6t053p17c,20,23
commonwealth:6t053p52z,20,23
commonwealth:q524n6035,20,23
commonwealth:q524n604f,20,23
commonwealth:wd376847k,20,23
commonwealth:wd376847k,20,23
commonwealth:4168b124f,18,23
commonwealth:7h14b007k,18,23
commonwealth:q524n605q,18,23
commonwealth:wd3765622,18,23
commonwealth:tb09q508m,19,23
commonwealth:ww72bp67x,19,23
commonwealth:9s161d26m,23,23
commonwealth:9s161d91x,27,23
commonwealth:3f4633435,28,23
commonwealth:3f463345q,28,23
commonwealth:3f4637359,28,23
commonwealth:3f4635764,29,23
commonwealth:8336h344w,29,23
commonwealth:cj82m1988,29,23
commonwealth:0z7098766,30,23
commonwealth:3f462v364,30,23
commonwealth:3t947b88n,30,23
commonwealth:9s161g881,30,23
commonwealth:2514p146b,32,23
commonwealth:4m90fd07z,32,23
commonwealth:4m90fn374,32,23
commonwealth:q524n545g,32,23
commonwealth:3f4630100,33,23
commonwealth:ht250667p,33,23
commonwealth:q524n534z,33,23
commonwealth:xp68sk50q,33,23
commonwealth:8336h3544,34,23
commonwealth:9w038762b,34,23
commonwealth:ht2506123,34,23
commonwealth:3f462z93c,35,23
commonwealth:6t053p961,35,23
commonwealth:q524qr92q,35,23
commonwealth:q524n383g,37,23
commonwealth:q524n4857,38,23
commonwealth:9c680894q,39,23
commonwealth:9c680894q,39,23
commonwealth:0r96fq609,41,23
commonwealth:9s161h313,44,23
commonwealth:0z709325p,109,23
commonwealth:3f463978h,19,24
commonwealth:q524n615z,12,24
commonwealth:q524n6167,12,24
commonwealth:q524n617h,12,24
commonwealth:q524n618s,12,24
commonwealth:0z709c16c,14,24
commonwealth:3f4630321,16,24
commonwealth:xg94j184c,16,24
commonwealth:6t053q82w,17,24
commonwealth:8049g896t,17,24
commonwealth:8336h2581,17,24
commonwealth:kk91fs52k,17,24
commonwealth:kk91fs544,17,24
commonwealth:n8710p90c,17,24
commonwealth:3f463990s,17,24
commonwealth:6t053p669,18,24
commonwealth:7h14gr49b,18,24
commonwealth:qr46z7453,18,24
commonwealth:st74cw18f,18,24
commonwealth:wd376444x,18,24
commonwealth:x059cd109,18,24
commonwealth:x059cd223,18,24
commonwealth:7h14b223c,19,24
commonwealth:8049g924s,19,24
commonwealth:8049g9473,19,24
commonwealth:8336h280j,19,24
commonwealth:9g54xk34b,19,24
commonwealth:cj82kt97k,19,24
commonwealth:ht250850x,19,24
commonwealth:ht250852g,19,24
commonwealth:xg94j217q,19,24
commonwealth:3f463b102,20,24
commonwealth:3f463b12m,20,24
commonwealth:ht250c42v,20,24
commonwealth:q524n473f,20,24
commonwealth:6t053q38b,21,24
commonwealth:q524n496r,21,24
commonwealth:x633fb524,21,24
commonwealth:cj82m5338,22,24
commonwealth:wd376658p,22,24
commonwealth:7h14b131v,25,24
commonwealth:x059cc52m,26,24
commonwealth:ht2503558,27,24
commonwealth:ht2505819,27,24
commonwealth:xg94j280g,27,24
commonwealth:0z709726s,28,24
commonwealth:4m90f5113,28,24
commonwealth:wd376340m,28,24
commonwealth:xg94j278f,30,24
commonwealth:0g35bk316,31,24
commonwealth:4m90f6429,31,24
commonwealth:4m90f979k,31,24
commonwealth:7079cc214,31,24
commonwealth:9s161j35d,31,24
commonwealth:kk91fr709,33,24
commonwealth:0z7097450,34,24
commonwealth:31981r25s,35,24
commonwealth:ht250411d,35,24
commonwealth:kk91fs102,35,24
commonwealth:wd378h641,35,24
commonwealth:0z709690m,36,24
commonwealth:9s161h292,36,24
commonwealth:kk91ft108,36,24
commonwealth:4m90fp00p,41,24
commonwealth:7h14b1570,12,25
commonwealth:8336h304x,14,25
commonwealth:4m90fh051,16,25
commonwealth:4m90fp50w,16,25
commonwealth:st74cw14b,16,25
commonwealth:ww72bp554,16,25
commonwealth:cj82kx03x,17,25
commonwealth:vh542x86g,17,25
commonwealth:wd376332x,17,25
commonwealth:x059c9925,17,25
commonwealth:4m90f305j,18,25
commonwealth:70797x21r,18,25
commonwealth:9880zz01k,18,25
commonwealth:9s161h399,18,25
commonwealth:cj82kx01c,18,25
commonwealth:cj82kx071,18,25
commonwealth:jq088q15f,18,25
commonwealth:q524n512x,18,25
commonwealth:0z7098987,19,25
commonwealth:0z709d027,19,25
commonwealth:3f463174r,19,25
commonwealth:6t053n83r,19,25
commonwealth:6w924q520,19,25
commonwealth:q524n509m,19,25
commonwealth:wd3765045,19,25
commonwealth:0z7096348,20,25
commonwealth:0z709f68j,20,25
commonwealth:9s161947r,20,25
commonwealth:gx41sm21b,20,25
commonwealth:kd17jv746,20,25
commonwealth:kk91fq17k,20,25
commonwealth:v9801349j,20,25
commonwealth:x633f882f,20,25
commonwealth:cj82kw058,20,25
commonwealth:x633fb44f,21,25
commonwealth:ht2509326,22,25
commonwealth:9s161b487,23,25
commonwealth:cj82m2534,24,25
commonwealth:cj82m255p,24,25
commonwealth:ht250353q,24,25
commonwealth:0z709c021,25,25
commonwealth:6d5732658,25,25
commonwealth:5q47v5213,26,25
commonwealth:9g54xj611,28,25
commonwealth:nk325m27d,28,25
commonwealth:s752dj14s,28,25
commonwealth:4m90fp84q,29,25
commonwealth:8336h278h,29,25
commonwealth:xg94j2511,29,25
commonwealth:3f463921c,30,25
commonwealth:3f463923x,30,25
commonwealth:3f463925g,30,25
commonwealth:3f4639271,30,25
commonwealth:3f463929k,30,25
commonwealth:3f463931m,30,25
commonwealth:3f4639335,30,25
commonwealth:3f463935q,30,25
commonwealth:3f4639378,30,25
commonwealth:3f463939t,30,25
commonwealth:3f463941v,30,25
commonwealth:3f463943d,30,25
commonwealth:4m90f2352,30,25
commonwealth:4m90f984f,30,25
commonwealth:x059c908n,30,25
commonwealth:0z709f70k,31,25
commonwealth:cj82m506c,31,25
commonwealth:ht250b81b,31,25
commonwealth:0z709d205,32,25
commonwealth:3f4633877,32,25
commonwealth:3f463393c,32,25
commonwealth:3f463395x,32,25
commonwealth:3f4633991,32,25
commonwealth:3f463401v,32,25
commonwealth:3f463405z,32,25
commonwealth:8s45ss99b,32,25
commonwealth:d217xv305,32,25
commonwealth:5138rj46c,33,25
commonwealth:st74cw20g,33,25
commonwealth:xw42qq88h,33,25
commonwealth:9s161h071,35,25
commonwealth:9s161d994,36,25
commonwealth:kk91fs68g,37,25
commonwealth:b8516215m,39,25
commonwealth:8336h3587,42,25
commonwealth:wd3768451,42,25
commonwealth:b8516305k,74,26
commonwealth:ht250698p,12,26
commonwealth:3f463024b,16,26
commonwealth:6t053q44g,17,26
commonwealth:3f462v21h,18,26
commonwealth:3f4638568,18,26
commonwealth:cj82kx05g,18,26
commonwealth:cj82kx11m,18,26
commonwealth:t722kt16k,18,26
commonwealth:0z709813x,19,26
commonwealth:0z709c306,19,26
commonwealth:2514p144s,19,26
commonwealth:3f4630186,19,26
commonwealth:4m90f5708,19,26
commonwealth:6t053p50d,19,26
commonwealth:6t053r16h,19,26
commonwealth:6t053r94w,19,26
commonwealth:6w924q39f,19,26
commonwealth:6w924q41g,19,26
commonwealth:6w924q54j,19,26
commonwealth:kk91fq04h,19,26
commonwealth:w9505r879,19,26
commonwealth:ww72bp13m,19,26
commonwealth:2514p152g,20,26
commonwealth:3f463183q,20,26
commonwealth:4168bp96m,20,26
commonwealth:6w924q46v,20,26
commonwealth:6w924q46v,20,26
commonwealth:7h149x32b,20,26
commonwealth:8049g883r,20,26
commonwealth:ht250c44d,20,26
commonwealth:q524n470m,20,26
commonwealth:q524n502p,20,26
commonwealth:qb98sf74w,20,26
commonwealth:w9505r993,20,26
commonwealth:0r96fq588,21,26
commonwealth:3f4637626,22,26
commonwealth:ww72bp53k,22,26
commonwealth:0z709958g,23,26
commonwealth:3f4639581,23,26
commonwealth:0z709942k,24,26
commonwealth:ht250c035,24,26
commonwealth:ht250c05q,24,26
commonwealth:ht250c078,24,26
commonwealth:8p58wp59k,25,26
commonwealth:kk91ft044,25,26
commonwealth:2f75ts165,26,26
commonwealth:cj82m7535,26,26
commonwealth:kk91fr289,27,26
commonwealth:z890s293t,27,26
commonwealth:7h14b2886,28,26
commonwealth:cj82m513s,29,26
commonwealth:0z709728b,30,26
commonwealth:0z709886f,30,26
commonwealth:4m90f949v,30,26
commonwealth:x633f9137,30,26
commonwealth:6t053p68v,31,26
commonwealth:6t053q90k,31,26
commonwealth:1831kr91z,32,26
commonwealth:6w924q10g,32,26
commonwealth:7h149v247,32,26
commonwealth:0z709b42s,33,26
commonwealth:mg74wm43v,33,26
commonwealth:0z709d32z,34,26
commonwealth:4m90f229x,34,26
commonwealth:cj82m498w,34,26
commonwealth:cj82m500q,34,26
commonwealth:p267c576p,34,26
commonwealth:sf26dh99j,34,26
commonwealth:1831hz479,35,26
commonwealth:4t64np257,35,26
commonwealth:6t053r467,36,26
commonwealth:ht250844s,37,26
commonwealth:xg94j188g,37,26
commonwealth:3f463b30j,38,26
commonwealth:9s161c98n,39,26
commonwealth:wd376839w,41,26
commonwealth:0z709c862,42,26
commonwealth:9s161881v,47,26
commonwealth:z890vc30r,50,26
commonwealth:7h14cv59p,113,26
commonwealth:6t053r823,408,26
commonwealth:z890s2854,10,27
commonwealth:6t053q746,11,27
commonwealth:ht250c01m,13,27
commonwealth:8336h266q,15,27
commonwealth:9s161959j,16,27
commonwealth:q524n491c,16,27
commonwealth:0z709c22h,18,27
commonwealth:8336h244p,18,27
commonwealth:8336p396h,18,27
commonwealth:wd376308v,18,27
commonwealth:0z709c32r,19,27
commonwealth:0z709c349,19,27
commonwealth:0z709f325,19,27
commonwealth:6t053q48k,19,27
commonwealth:6t053q682,19,27
commonwealth:6t053r182,19,27
commonwealth:7h14b1456,19,27
commonwealth:9s161d93g,19,27
commonwealth:9s161d951,19,27
commonwealth:9s161f095,19,27
commonwealth:9s161f116,19,27
commonwealth:jm217647g,19,27
commonwealth:q524n521w,19,27
commonwealth:0z7099843,20,27
commonwealth:1257b9317,20,27
commonwealth:1257b935b,20,27
commonwealth:6w924q08f,20,27
commonwealth:8p58vg71f,20,27
commonwealth:cj82r9406,20,27
commonwealth:ht250681h,20,27
commonwealth:j6734670q,20,27
commonwealth:q524n3869,20,27
commonwealth:sf26f829k,20,27
commonwealth:0z709c26m,21,27
commonwealth:0z709d74g,21,27
commonwealth:1257bb57k,21,27
commonwealth:6t053s00t,21,27
commonwealth:9s161h780,21,27
commonwealth:kk91fq31d,21,27
commonwealth:qr46x440x,21,27
commonwealth:0z709d04s,22,27
commonwealth:ht2507774,22,27
commonwealth:0z709d90v,23,27
commonwealth:4m90fb88r,23,27
commonwealth:k069dm58n,23,27
commonwealth:v979z8882,23,27
commonwealth:wd376516z,23,27
commonwealth:zk521j860,23,27
commonwealth:ht250487r,24,27
commonwealth:2j62vn697,25,27
commonwealth:6t053r424,25,27
commonwealth:8049g939d,25,27
commonwealth:cj82m147s,25,27
commonwealth:j6735b99p,25,27
commonwealth:j3864k44p,26,27
commonwealth:n5841h04r,26,27
commonwealth:4m90f879c,27,27
commonwealth:ht250959m,27,27
commonwealth:7h149z42s,28,27
commonwealth:t722kt17v,29,27
commonwealth:ww72bp65c,29,27
commonwealth:ww72bp94t,29,27
commonwealth:4m90fc80r,30,27
commonwealth:sn00h097s,30,27
commonwealth:tq57ts16j,30,27
commonwealth:6t053p90c,31,27
commonwealth:4m90f764j,32,27
commonwealth:cj82m504t,32,27
commonwealth:q524n6060,32,27
commonwealth:x059c976s,32,27
commonwealth:6t053q240,33,27
commonwealth:ww72bp864,33,27
commonwealth:cj82m5028,34,27
commonwealth:3f462s14p,35,27
commonwealth:3r079x43h,35,27
commonwealth:fn107c192,35,27
commonwealth:q524n483p,35,27
commonwealth:st74cx91n,35,27
commonwealth:4m90fp71n,37,27
commonwealth:7h149z51r,37,27
commonwealth:9s1618913,37,27
commonwealth:rx918q82w,37,27
commonwealth:3f462w91d,38,27
commonwealth:kk91fq436,38,27
commonwealth:31983m51x,39,27
commonwealth:0z709978z,40,27
